c1,c2,c3,c4,c5,c6
PP Weight Table,Weight (g/m),PP Weight Table,Weight (g/m),PP Weight Table,Weight (g/m)
27,90,27,90,27,90
29,100,29,100,29,100
30,108,30,108,30,108
34,130,34,130,34,130
36,135,36,135,36,135
42,170,42,170,42,170
45,195,45,195,45,195
54,230,54,230,54,230
56,260,56,260,56,260
60,310,60,310,60,310
65,380,65,380,65,380
70,390,70,390,70,390
75,400,75,400,75,400
80,440,80,440,80,440
85,500,85,500,85,500
90,620,90,620,90,620
100,650,100,650,100,650
105,715,105,715,105,715
110,840,110,840,110,840
120,960,120,960,120,960